Name,Tools Categories,Content,Link
HubSpot,Sales,"HubSpot offers a full platform of marketing, customer service, sales, and CRM software. Plus the methodology, resources, support.",https://www.hubspot.com
Forest,Productivity,"Forest is an app that helps you stay focused on the important things in life. · Whenever you want to stay focused, plant a tree.",https://www.forestapp.cc
Clickup,Project Planner,"ClickUp is a productivity platform that makes your personal and work lives more productive, saving you time.",https://clickup.com
Wave,Finances,"Wave makes your accounting tasks easy, fast and secure. Start sending invoices, tracking time, capturing expenses.",https://www.waveapps.com
SEO Site Checkup,SEO,"SEO Site Checkup runs through a fast audit of your site, checking for proper tags and surfacing any errors that might come up.",http://seositecheckup.com/
Facebook Ads,Ads,"Facebook Ads helps connect with the ideal target audience who are most likely interested in their services, products.",https://business.facebook.com
Calendly,Communication,Calendly works with your calendar to automate appointment scheduling. Schedule meetings without the hassle.,https://calendly.com
Ahrefs,Marketing,"Ahrefs is an SEO software suite that contains tools for link building, keyword research, competitor analysis, rank tracking and audits.",https://ahrefs.com/
Compressor.io,Miscellaneous,Compressor is the ultimate image optimizer to compress your images in JPEG and PNG formats to the minimum possible size.,https://compressor.io/
Udemy,Education,Udemy is an online learning and teaching marketplace with over 155000 courses and 40 million students.,https://www.udemy.com
QuickBooks,Finances,"QuickBooks is a financial software for small business start-ups to track, organize, and manage their finances.",https://quickbooks.intuit.com/global/
Weebly,Website,"Weebly’s free website builder makes it easy to create a website. Find customizable templates, domains, and easy-to-use tools.",http://www.weebly.com/
Sketch,Design,"Sketch is a design toolkit built to help you create your best work — from your earliest ideas, through to final artwork.",https://www.sketchapp.com/
Survey Monkey,Research,SurveyMonkey helps you to drive your business forward by using our free online survey tool to capture the voices and opinions.,https://www.surveymonkey.com/
Notion,Productivity,"Notion is the all-in-one workspace that combines notes, docs, project management, and wikis — and makes them all customizable.",https://www.notion.so
Google Analytics,Analytics,Google Analytics gives you the tools to better understand your customers. You can then use those insights to take action.,https://analytics.google.com
Intercom,Communication,"Intercom is a fundamentally new way for internet businesses to communicate with customers, personally.",https://www.intercom.io/
IFTTT,Automations,IFTTT helps you to do more with your favorite apps and devices. Make your home more relaxing. Make your work more productive.,https://ifttt.com
Pexels,Miscellaneous,"Pexels app gives you unlimited access to over 3 million free, high-resolution photos and videos. No attribution needed.",https://www.pexels.com
Convertkit,Marketing,"ConvertKit helps you find your audience, turn them into true fans, and earn a living as a creator with our software.",https://convertkit.com
Buffer,Social Media,Buffer is a simpler way to schedule posts and track the performance of your content. Manage all your social media.,https://buffer.com
Evernote,Productivity,"Evernote is a powerful tool that can help executives, entrepreneurs and creative people capture and arrange their ideas.",https://evernote.com
Airtable,Task Management,"Airtable can store information in a spreadsheet that’s visually appealing, easy to use. It’s also powerful to act as a database.",https://airtable.com
Drift,Marketing,Drift brings your go-to-market teams together to deliver personalized customer experiences in real time.,https://www.drift.com/
Pocket,Link Management,"Pocket, previously known as Read It Later, is an application for managing a reading list of articles and videos from the internet.",https://getpocket.com
Linkedin Sales Navigator,Marketing,LinkedIn Sales Navigator makes virtual selling easy with sales tools that focus on helping you find the right prospects.,https://business.linkedin.com/
Things,Task Management,Things is a task management solution that helps to organize your tasks in an elegant and intuitive way.,https://culturedcode.com/things/
Shopify,Website,"Shopify helps you ttart your ecommerce business and manage it from anywhere, with no coding or design skills needed.",http://www.shopify.com/
aText,Automations,"aText is a text template, text shortcut, text macro, text automation, text expansion tool. aText accelerates your typing.",https://www.trankynam.com/atext/
Canva,Design,Canva gives you all the tools you need to design. Choose from hundreds of professionally designed layouts.,https://www.canva.com
1 Password,Miscellaneous,"1Password remembers all your passwords for you, and keeps them safe and secure behind the one password that only you know.",https://1password.com
Harvest,Time Tracker,"Harvest helps you track time and expenses, create reports, invoice clients. It scales with you through every stage of your business.",https://www.getharvest.com
Wordpress,Website,WordPress is a powerful application that allows you to easily build websites and publish your personal website online.,https://wordpress.org
Dropbox Paper,Productivity,"Dropbox Paper is a free online word processor, document editor, real-time collaboration tool, and project planner, all in one.",https://www.dropbox.com/paper
Squarespace,Website,"Squarespace is the all-in-one solution for anyone looking to create a beautiful website. Domains, eCommerce and more.",http://www.squarespace.com/
Grammarly,Miscellaneous,Grammarly is a writing assistant that offers you specific suggestions to help you improve your writing.,https://www.grammarly.com
Snov,Marketing,"Snov.io is an outreach automation platform offering a variety of tools for lead generation, email verification, email sending.",https://snov.io
Toggl Plan,Project Planner,"Toggl Plan makes planning is easy. Just drag a task on the timeline to schedule its start and end dates, and you're done.",https://toggl.com/plan/
Figma,Design,"Figma is a design platform for teams who build products. Figma helps teams create, test, and ship better designs.",https://www.figma.com
Google Drive,Cloud Storage,Google Drive is an cloud storage. Where you can create and share your work online and access your documents from anywhere.,https://www.google.com/drive/
Pipedrive,Sales,Pipedrive is a customer relationship management CRM solution that also works as an account-management tool.,https://www.pipedrive.com
Skillshare,Education,Skillshare is a learning platform with online classes taught by the world’s best practitioners. Personalized learning.,https://www.skillshare.com
Google Search Console,SEO,"Google Search Console offers tools and reports help you measure your site’s search traffic and performance, fix issues.",https://search.google.com/search-console
Bitly,Analytics,Bitly helps you create and share branded links with custom domains at scale. Free url shortener to create perfect urls.,https://bitly.com/
Google Forms,Miscellaneous,"Google Forms is an online software for Google account users that lets you create surveys, questionnaires.",https://www.google.com/forms/about/
Gumroad,Finances,Gumroad is an online platform that facilitates the sale of products by creators directly to consumers. Sell products easily.,https://gumroad.com
Google Ads,Ads,Google Ads is an online advertising platform where advertisers bid to display advertisements to web users.,https://ads.google.com
SEMrush,SEO,"Semrush offers solutions for SEO, PPC, content, social media and competitive research. Trusted by over 7000000 marketers.",https://www.semrush.com/
Wix,Website,Wix is a smart website builder with optical delights. Easy to use and as flexible as it can get. With over 500 customizable templates.,http://www.wix.com/
Paypal,Finances,"PayPal is the faster, safer way to send money, make an online payment, receive money or set up a merchant account.",https://www.paypal.com
Dropbox,Cloud Storage,"Dropbox lets you upload and transfer files to the cloud, and share them with anyone. Back up and sync files to cloud storage.",https://www.dropbox.com
Mailchimp,Marketing,"Mailchimp is the all-in-one integrated marketing platform for small businesses, to grow your business on your terms.",https://mailchimp.com
Mailer Lite,Marketing,MailerLite is a marketing tool that helps you design beautiful newsletters and set up automated e-commerce campaigns.,https://www.mailerlite.com
Phantom Buster,Automations,Phantombuster is the growth-hackers favorite weapon. It automates your sales and marketing processes.,https://phantombuster.com
Asana,Project Planner,"Asana is the work manager for teams. From the small stuff to the big picture, Asana organizes work so teams are clear what to do.",https://asana.com
Reply.io,Automations,"Reply is a multichannel sales engagement platform that automates email search, LinkedIn outreach and much more.",https://reply.io
SimilarWeb,Research,"Similarweb is the competitive digital intelligence tool for a complete view of your industry, competitors, and customers.",https://www.similarweb.com/
Hello-Sign,Legal,"Hello Sign is the easiest way to send, receive and manage legally binding electronic signatures. It takes paper out of the equation.",https://www.hellosign.com/
Adobe XD,Design,"Adobe XD features are used for creating wireframes, prototypes, and screen designs for digital products like websites, apps.",https://www.adobe.com/sea/products/xd.html
Spark,Apps,Spark helps you take your inbox under control. You can instantly see what’s important on your mail and quickly clean up the rest.,https://sparkmailapp.com
FreshBooks,Finances,FreshBooks is cloud based accounting. Spend less time on paperwork and more time doing the work that gets you paid!,https://www.freshbooks.com
